category_id,category_name,subcategory_id,subcategory_name,product_id,product_code,product_name,product_second_name,product_type,line_count,invoice_count,customer_count,net_qty,net_sales_ex_vat,net_vat_allocated_from_invoice,net_sales_inc_vat_allocated,completed_qty,completed_sales_ex_vat,completed_sales_inc_vat_allocated,returned_qty,returned_sales_ex_vat,returned_sales_inc_vat_allocated,first_sale_date,last_sale_date
2,"Airless Sprayer",,,290,52416676,"Spray tip 419",,standard,2,2,2,2.0000,550.00,38.50,588.50,2.0000,550.00,588.50,0.0000,0.00,0.00,2026-05-26,2026-05-29
2,"Airless Sprayer",,,268,29857423,"Spray tip 515",,standard,6,6,3,6.0000,514.02,35.98,550.00,6.0000,514.02,550.00,0.0000,0.00,0.00,2026-05-08,2026-05-30
2,"Airless Sprayer",,,153,95064021,"น้ำมันไฮโดรลิก-Hydraulic Oil",,service,1,1,1,1.0000,514.02,35.98,550.00,1.0000,514.02,550.00,0.0000,0.00,0.00,2026-05-25,2026-05-25
2,"Airless Sprayer",,,249,64040511," No.4 Spring Outlet valve -RB899",,standard,1,1,1,2.0000,500.00,35.00,535.00,2.0000,500.00,535.00,0.0000,0.00,0.00,2026-05-12,2026-05-12
2,"Airless Sprayer",,,248,36840090,"No.15 Spring Inlet valve -RB899",,standard,1,1,1,2.0000,500.00,35.00,535.00,2.0000,500.00,535.00,0.0000,0.00,0.00,2026-05-12,2026-05-12
2,"Airless Sprayer",,,459,99805626,"No.109 Drain hose-สายไล่อากาศ RB899",,standard,1,1,1,1.0000,450.00,31.50,481.50,1.0000,450.00,481.50,0.0000,0.00,0.00,2026-05-29,2026-05-29
2,"Airless Sprayer",,,737,55001755," กระเป๋าเครื่องมือช่าง คาดเอว 11.5x26.5cm. RB-1001.2",,standard,1,1,1,1.0000,364.49,25.51,390.00,1.0000,364.49,390.00,0.0000,0.00,0.00,2026-05-23,2026-05-23
2,"Airless Sprayer",,,179,88664098,"ข้อต่อสาย-Union 1/4to1/4",,standard,3,3,2,3.0000,350.00,24.50,374.50,3.0000,350.00,374.50,0.0000,0.00,0.00,2026-05-04,2026-05-25
2,"Airless Sprayer",,,484,30600935,"No.31 Gauge-RB899",,standard,1,1,1,1.0000,327.10,22.90,350.00,1.0000,327.10,350.00,0.0000,0.00,0.00,2026-05-25,2026-05-25
1,"Missing category 1",,,33,58781023,"แผ่นกระดาษทราย-SandPaper No.40 for psm370 ",,standard,1,1,1,5.0000,320.00,22.40,342.40,5.0000,320.00,342.40,0.0000,0.00,0.00,2026-05-15,2026-05-15
2,"Airless Sprayer",,,152,63411091,"NO.3 Copper pad Oultel vevle -แหวนทองแดง RB899",,standard,2,2,2,3.0000,293.46,20.54,314.00,3.0000,293.46,314.00,0.0000,0.00,0.00,2026-05-12,2026-05-25
1,"Missing category 1",,,141,31943855,"ลูกปืน-Bearing No.6202",,standard,1,1,1,1.0000,250.00,17.50,267.50,1.0000,250.00,267.50,0.0000,0.00,0.00,2026-05-25,2026-05-25
2,"Airless Sprayer",,,327,30650677,"RB-GF30mesh Green airless spray gun filterใส้กรองปืนสีเขียว",,standard,14,14,11,24.0000,186.92,13.08,200.00,24.0000,186.92,200.00,0.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,180,82114867,ค่าส่งแบบโอน,,service,2,2,2,2.0000,173.26,12.13,185.39,2.0000,173.26,185.39,0.0000,0.00,0.00,2026-05-14,2026-05-15
30,"Drywall sander, wall sander",,,64,61332831,"กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์180","180grits 180mm sandpaper ",standard,1,1,1,10.0000,93.50,6.55,100.05,10.0000,93.50,100.05,0.0000,0.00,0.00,2026-05-14,2026-05-14
1,"Missing category 1",,,204,29146094,"เทปฟิล์มสำหรับงานพ่นสี พลาสติกปิดพ่นสี สำหรับรถ เทปกาวในตัว PE Masking Film with Tape ขนาด 55cm x25m",,standard,1,1,1,1.0000,36.45,2.55,39.00,1.0000,36.45,39.00,0.0000,0.00,0.00,2026-05-04,2026-05-04
2,"Airless Sprayer",,,160,91383452,ใส้กรองปืนสีแดง,"RB-RF150mesh Red airless spray gun filter",standard,23,23,16,42.0000,0.00,0.00,0.00,46.0000,0.00,0.00,-4.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,326,03379658,"RB-YF100mesh Yellow airless spray gun filterใส้กรองเหลือง",,standard,13,13,10,22.0000,0.00,0.00,0.00,22.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,280,31563562,"Spray tip 415",,standard,15,15,11,14.0000,0.00,0.00,0.00,15.0000,0.00,0.00,-1.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,283,36803270,"Spray tip 417",,standard,13,13,8,11.0000,0.00,0.00,0.00,12.0000,0.00,0.00,-1.0000,0.00,0.00,2026-05-08,2026-05-29
2,"Airless Sprayer",,,281,11523954,"Spray tip 421",,standard,11,11,6,11.0000,0.00,0.00,0.00,11.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,304,14785828,"Spray tip 315",,standard,7,7,5,7.0000,0.00,0.00,0.00,7.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-19,2026-05-29
2,"Airless Sprayer",,,288,20013971,"Spray tip 211",,standard,6,6,6,6.0000,0.00,0.00,0.00,6.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-15,2026-05-27
2,"Airless Sprayer",,,98,74774312,"VC600 Dust Collector-เครื่องเก็บฝุ่นVC600","VC600 Dust Collector",standard,6,6,6,6.0000,0.00,0.00,0.00,6.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-07,2026-05-21
4,"Screw Pump",,,1058,24414829,"เครื่องผสมสี ปูน หัวเกลียว รุ่น RB-HM161 - Hand mixer HM-161",,standard,6,6,4,6.0000,0.00,0.00,0.00,6.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-06,2026-05-28
5,"Paint and decorating",,,321,65415684,"4Meter Dust Suction Pipe Blue-สายดูดฝุ่น4m.","4Meter Dust Suction Pipe Blue",standard,5,5,5,5.0000,0.00,0.00,0.00,5.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-08,2026-05-21
5,"Paint and decorating",,,337,10775560,ถังเก็บฝุ่น,,standard,5,5,5,5.0000,0.00,0.00,0.00,5.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-08,2026-05-21
38,"WALL CHASERS",,,596,62810087,"1Meter Dust Suction Pipe Blue-สายดูดฝุ่น1m.","1Meter Dust Suction Pipe Blue",standard,5,5,5,5.0000,0.00,0.00,0.00,5.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-08,2026-05-21
38,"WALL CHASERS",,,932,42962349,"50MM CYCLONE Dust collector - ถังไซโล ","50MM CYCLONE",standard,5,5,5,5.0000,0.00,0.00,0.00,5.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-08,2026-05-21
2,"Airless Sprayer",,,275,22129636,"Spray tip 217",,standard,4,4,4,4.0000,0.00,0.00,0.00,4.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,157,44810461,"Spray tip 317",,standard,3,3,3,3.0000,0.00,0.00,0.00,3.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-05,2026-05-22
2,"Airless Sprayer",,,158,84165112,"Spray tip 209",,standard,2,2,2,2.0000,0.00,0.00,0.00,2.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-05,2026-05-23
2,"Airless Sprayer",,,287,85028638,"Spray tip 215",,standard,4,4,2,2.0000,0.00,0.00,0.00,3.0000,0.00,0.00,-1.0000,0.00,0.00,2026-05-25,2026-05-30
1,"Missing category 1",,,115,67563618,"water pump-wall chaser-ปั้มน้ำเครื่องกรีดผนังระบบน้ำ",,standard,2,2,2,2.0000,0.00,0.00,0.00,2.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-08,2026-05-21
1,"Missing category 1",,,51,24349599,"ไม้ปาดปูน-1.5meter scraper",,standard,2,2,2,2.0000,0.00,0.00,0.00,2.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-06,2026-05-28
2,"Airless Sprayer",,,303,63062851,"Spray tip 115",,standard,1,1,1,1.0000,0.00,0.00,0.00,1.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-07,2026-05-07
2,"Airless Sprayer",,,297,73403617,"Spray tip 117",,standard,1,1,1,1.0000,0.00,0.00,0.00,1.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-07,2026-05-07
2,"Airless Sprayer",,,296,66015910,"Spray tip 219",,standard,1,1,1,1.0000,0.00,0.00,0.00,1.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-22,2026-05-22
2,"Airless Sprayer",,,289,60767201,"Spray tip 319",,standard,3,3,1,1.0000,0.00,0.00,0.00,2.0000,0.00,0.00,-1.0000,0.00,0.00,2026-05-25,2026-05-25
2,"Airless Sprayer",,,302,68321792,"Spray tip 511",,standard,1,1,1,1.0000,0.00,0.00,0.00,1.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-22,2026-05-22
2,"Airless Sprayer",,,163,91102640,"Universal jointer-ข้อต่อ 360องศา",,standard,1,1,1,1.0000,0.00,0.00,0.00,1.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-26,2026-05-26
46,"Wall Polishing Machine",,,118,09437861,"ด้ามต่อเครื่องปั่นหน้าปูน รุ่นPSM370","Extend tube  wet cement sanding  PSM -300",standard,1,1,1,1.0000,0.00,0.00,0.00,1.0000,0.00,0.00,0.0000,0.00,0.00,2026-05-20,2026-05-20
