category_id,category_name,subcategory_id,subcategory_name,product_id,product_code,product_name,product_second_name,product_type,line_count,invoice_count,customer_count,net_qty,net_sales_ex_vat,net_vat_allocated_from_invoice,net_sales_inc_vat_allocated,completed_qty,completed_sales_ex_vat,completed_sales_inc_vat_allocated,returned_qty,returned_sales_ex_vat,returned_sales_inc_vat_allocated,first_sale_date,last_sale_date
2,"Airless Sprayer",,,772,76338864,"เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-360","AIRLESS SPRAYER-DF360",standard,1,1,1,1.0000,14900.00,1043.00,15943.00,1.0000,14900.00,15943.00,0.0000,0.00,0.00,2026-05-29,2026-05-29
30,"Drywall sander, wall sander",,,17,66577922,"เครื่องขัดผนังสกิมโค้ท ด้ามยาว เก็บฝุ่นในตัว รุ่น RB-DWS225B","drywall sander  DWS225B",standard,2,2,2,2.0000,13883.18,971.82,14855.00,2.0000,13883.18,14855.00,0.0000,0.00,0.00,2026-05-05,2026-05-20
30,"Drywall sander, wall sander",,,18,31351241,"เครื่องขัดผนังสกิมโค้ท ด้ามสั้นเก็บฝุ่น รุ่น  RB-DWS180S ","Drywall Sander",standard,3,3,2,5.0000,13500.00,945.00,14445.00,5.0000,13500.00,14445.00,0.0000,0.00,0.00,2026-05-21,2026-05-26
30,"Drywall sander, wall sander",,,1009,56339566,"เครื่องขัดพื้นปูนเข้ามุม RB-DWS225A",,standard,1,1,1,1.0000,13500.00,945.00,14445.00,1.0000,13500.00,14445.00,0.0000,0.00,0.00,2026-05-07,2026-05-07
5,"Paint and decorating",,,111,14549706,"ใบตัดคอนกรีด ขนาด133mm.(ใบบิด)",,standard,3,3,3,50.0000,12150.00,850.50,13000.50,50.0000,12150.00,13000.50,0.0000,0.00,0.00,2026-05-08,2026-05-21
4,"Screw Pump",,,352,77260835,"ชุดลูกยาง-Startor-Rotor Width 9cm high 27.5cm เครื่องพ่นปูน รุ่นMT9001",,standard,2,2,2,3.0000,11700.00,819.00,12519.00,3.0000,11700.00,12519.00,0.0000,0.00,0.00,2026-05-23,2026-05-28
2,"Airless Sprayer",,,1186,28929687,"electrical circuit board แผงวงจรไฟฟ้า RB-1060","electrical circuit board for RB-1060",standard,1,1,1,1.0000,10850.00,759.50,11609.50,1.0000,10850.00,11609.50,0.0000,0.00,0.00,2026-05-22,2026-05-22
2,"Airless Sprayer",,,585,69572134,ค่ามัดจำ,,service,1,1,1,1.0000,9345.79,654.21,10000.00,1.0000,9345.79,10000.00,0.0000,0.00,0.00,2026-05-25,2026-05-25
5,"Paint and decorating",,,59,48383208,"Packer รุ่น A -8",,standard,4,4,4,700.0000,8400.00,588.00,8988.00,700.0000,8400.00,8988.00,0.0000,0.00,0.00,2026-05-05,2026-05-30
38,"WALL CHASERS",,,1157,01025726,"ใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีต Brushless Ring Saw รุ่น RB-7425D ","cutting blade Brushless Ring Saw  RB-7425D",standard,1,1,1,2.0000,7950.00,556.50,8506.50,2.0000,7950.00,8506.50,0.0000,0.00,0.00,2026-05-22,2026-05-22
30,"Drywall sander, wall sander",,,1185,73227450,"เครื่องขัดพื้นปูนคอนกรีต แบบ3 หัว รุ่น RB-DWS225C",,standard,1,1,1,1.0000,7943.93,556.08,8500.01,1.0000,7943.93,8500.01,0.0000,0.00,0.00,2026-05-11,2026-05-11
2,"Airless Sprayer",,,88,56540900,"RB-PS Pressure hose 15m.(3/8)",,standard,1,1,1,2.0000,7000.00,490.00,7490.00,2.0000,7000.00,7490.00,0.0000,0.00,0.00,2026-05-22,2026-05-22
30,"Drywall sander, wall sander",,,1085,81277448,"แผ่นขัดพื้นกลมแดง ขนาด 4 นิ้ว #40",,standard,3,3,3,8.0000,6108.32,427.58,6535.90,8.0000,6108.32,6535.90,0.0000,0.00,0.00,2026-05-05,2026-05-23
30,"Drywall sander, wall sander",,,1137,15759750,"เครื่องขัดปูน หน้า 7 นิ้ว รุ่น DQ-150ZX 3000W",,standard,1,1,1,1.0000,5900.00,413.00,6313.00,1.0000,5900.00,6313.00,0.0000,0.00,0.00,2026-05-21,2026-05-21
2,"Airless Sprayer",,,1109,63573265,"เครื่องพ่นสีขนาดพกพา แบบแบตเตอรี่ รุ่น RB-DQ600BL","Battery-powered airless paint sprayer  RB-DQ600BL",standard,1,1,1,1.0000,5140.19,359.81,5500.00,1.0000,5140.19,5500.00,0.0000,0.00,0.00,2026-05-02,2026-05-02
4,"Screw Pump",,,359,18248883,"สายพ่นปูน-HOSE Mortar เครื่องพ่นปูน รุ่นMT9001","HOSE Mortar sprayer MT-9001",standard,1,1,1,1.0000,5140.19,359.81,5500.00,1.0000,5140.19,5500.00,0.0000,0.00,0.00,2026-05-15,2026-05-15
22,"Other spraying equipments",,,225,78823195,"สายไฮโดรลิก- epoxy  grouting   spare parts รุ่น RB-WE01,WE02","epoxy  grouting   spare parts RB-WE01,WE02",standard,5,5,3,7.0000,4930.00,345.10,5275.10,7.0000,4930.00,5275.10,0.0000,0.00,0.00,2026-05-16,2026-05-27
38,"WALL CHASERS",,,1046,04819892,"บาร์โซ่เลื่อยตัดคอนกรีต (เครื่องเลื่อยตัดไฟฟ้า 20 นิ้ว)",,standard,1,1,1,3.0000,4770.00,333.90,5103.90,3.0000,4770.00,5103.90,0.0000,0.00,0.00,2026-05-12,2026-05-12
46,"Wall Polishing Machine",,,1016,86092530,"ขาตั้งCentipede ขา Strut อลูมิเนียมอัลลอยด์แบบพกพา RB-CS10",,standard,1,1,1,1.0000,4500.00,315.00,4815.00,1.0000,4500.00,4815.00,0.0000,0.00,0.00,2026-05-04,2026-05-04
1,"Missing category 1",,,32,54906572,"แผ่นฟองน้ำ (อย่างดี)-Sponge  disc Premium",,standard,1,1,1,10.0000,4000.00,280.00,4280.00,10.0000,4000.00,4280.00,0.0000,0.00,0.00,2026-05-29,2026-05-29
30,"Drywall sander, wall sander",,,1141,33417325,"ทุ่น Rotor spare parts  รุ่น RB-225A","Rotor spare parts RB-225A",standard,2,2,1,2.0000,3950.00,276.50,4226.50,2.0000,3950.00,4226.50,0.0000,0.00,0.00,2026-05-21,2026-05-22
1,"Missing category 1",,,2,03665944,"เครื่องปั่นหน้าปูนฉาบ สายไฟ 5 เมตร รุ่น RB-PSM370-5M","wet cement  sanding machine  pSM -300   5meter wire",standard,2,2,2,2.0000,3925.23,274.77,4200.00,2.0000,3925.23,4200.00,0.0000,0.00,0.00,2026-05-06,2026-05-20
30,"Drywall sander, wall sander",,,61,45473436,"กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์80","80grits180mm sandpaper ",standard,9,6,5,350.0000,3914.96,225.05,4140.01,350.0000,3914.96,4140.01,0.0000,0.00,0.00,2026-05-18,2026-05-26
5,"Paint and decorating",,,220,93981649,"ไม้ปาดสกิมโค้ท สีแดง  Scraper 40 cm.",,standard,2,2,2,4.0000,3737.85,261.65,3999.50,4.0000,3737.85,3999.50,0.0000,0.00,0.00,2026-05-06,2026-05-09
2,"Airless Sprayer",,,811,26036883,ค่าส่ง,,service,9,9,8,9.0000,3713.55,249.45,3963.00,9.0000,3713.55,3963.00,0.0000,0.00,0.00,2026-05-08,2026-05-29
5,"Paint and decorating",,,58,34545087,"Packer รุ่น A -10","A10Check water needle",standard,6,6,3,300.0000,3600.00,252.00,3852.00,300.0000,3600.00,3852.00,0.0000,0.00,0.00,2026-05-06,2026-05-12
