product_id	product_code	product	category	qty	invoices	sales_inc_vat
1157	01025726	ใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีต Brushless Ring Saw รุ่น RB-7425D 	WALL CHASERS	1.0000	1	3900.00
762	92313469	Tip Guard (สีดำ)	Airless Sprayer	13.0000	11	3878.03
86	94030123	RB-PS Pressure hose 1/4  15m.	Airless Sprayer	3.0000	2	3869.16
1132	20818917	เครื่องขัดปูน DQ-8105ZX 1200W 	Drywall sander, wall sander	1.0000	1	3785.05
1122	53437664	RB-PS Pressure hose 3/8 15 m. (สีเหลือง)	Airless Sprayer	2.0000	2	3500.00
1	15120904	เครื่องปั่นหน้าปูนฉาบ จับสองมือ รุ่น RB-WPS90	Missing category 1	1.0000	1	3500.00
1013	34598941	ไม้ปาดสกิมโค้ท - SCRAPER RB-SC80 ขนาด 80 cm.	Wall Polishing Machine	2.0000	2	3051.87
468	41779949	No.85 Pressure Valve RB899 วาล์วปรับแรงดัน	Airless Sprayer	2.0000	2	3000.00
249	64040511	 No.4 Spring Outlet valve -RB899	Airless Sprayer	12.0000	2	2929.91
220	93981649	ไม้ปาดสกิมโค้ท สีแดง  Scraper 40 cm.	Paint and decorating	4.0000	2	2850.00
214	93931832	เกรียงขัดกระดาษทรายเข้ามุม ขนาด 50cm.	Paint and decorating	6.0000	1	2803.74
224	30585176	ชุดสปริง- epoxy  grouting   spare parts รุ่น RB-WE01,WE02	Missing category 3	6.0000	2	2700.00
357	75096837	texture  spray gun 4mm	Spare parts / Accessories Airless sprayer	1.0000	1	2500.00
323	71134805	Putty power special scraperไม้ปาดด้ามยาว	Airless Sprayer	2.0000	1	2400.00
46	05761935	เครื่องยิงกันซึมมือถือ-Crack Grouting รุ่น RB-WE900	Power Tools	1.0000	1	2289.72
100	79234345	ถาดรองเครื่องปั่นหน้าปูน รุ่นPSM370	Screw Pump	3.0000	1	2214.95
52	23179593	ไม้ปาดปูน-2 meter scraper	Paint and decorating	2.0000	2	2155.60
32	54906572	แผ่นฟองน้ำ (อย่างดี)-Sponge  disc Premium	Missing category 1	5.0000	1	2000.00
71	39331098	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์240	Drywall sander, wall sander	135.0000	4	1676.83
65	91780351	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์240	Drywall sander, wall sander	220.0000	3	1644.50
54	97527537	ปืนยิงโฟม Long gun head of grouting machine รุ่นPU-GUN-Foam-01	Other spraying equipments	2.0000	2	1640.00
268	29857423	Spray tip 515	Airless Sprayer	11.0000	10	1578.04
725	05235178	กระดาษทราย-เกรียงขัดกระดาษเข้ามุม ความยาว 50 cm เบอร์ 240	Missing category 1	60.0000	1	1500.00
245	11653104	No.17 Inlet valve assembly-RB899	Airless Sprayer	1.0000	1	1500.00
151	42914914	No.29 Valve assembly -วาวล์ไล่อากาศ RB899	Airless Sprayer	1.0000	1	1500.00
467	68761949	No.10 Outlet valve full set for RB899	Airless Sprayer	1.0000	1	1500.00
62	51984083	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์120	Paint and decorating	170.0000	4	1490.50
67	21961958	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์80	Drywall sander, wall sander	100.0000	2	1400.00
318	47667231	No.110 Suction Hose Full set-RB899	Airless Sprayer	1.0000	1	1350.00
225	78823195	สายไฮโดรลิก- epoxy  grouting   spare parts รุ่น RB-WE01,WE02	Other spraying equipments	2.0000	2	1340.00
98	74774312	VC600 Dust Collector-เครื่องเก็บฝุ่นVC600	Airless Sprayer	3.0000	3	1308.41
1060	10384771	เกจวัดแรงดัน Gauge-RB360	Airless Sprayer	2.0000	1	1300.00
319	18863480	Extend tube-ด้ามต่อหัวพ่น ขนาด 100cm.	Airless Sprayer	3.0000	3	1261.68
157	44810461	Spray tip 317	Airless Sprayer	15.0000	14	1110.75
303	63062851	Spray tip 115	Airless Sprayer	3.0000	2	1100.00
155	37498222	Spray Tip 517	Airless Sprayer	12.0000	10	1074.77
276	32770008	Spray tip 521	Airless Sprayer	8.0000	7	1028.04
811	26036883	ค่าส่ง	Airless Sprayer	5.0000	4	1000.00
43	40337965	เครื่องล้างทำความสะอาดน้ำไอร้อน	Power Tools	1.0000	1	981.31
61	45473436	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์80	Drywall sander, wall sander	135.0000	2	917.50
737	55001755	 กระเป๋าเครื่องมือช่าง คาดเอว 11.5x26.5cm. RB-1001.2	Airless Sprayer	4.0000	1	785.04
484	30600935	No.31 Gauge-RB899	Airless Sprayer	2.0000	2	750.00
51	24349599	ไม้ปาดปูน-1.5meter scraper	Missing category 1	1.0000	1	700.94
72	99413924	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์320	Drywall sander, wall sander	50.0000	1	700.00
447	74340811	ถุงผ้าสำหรับถังเก็บฝุ่น  -Dust bag Dust collector-VC600	Missing category 1	2.0000	1	700.00
124	05170330	PU FOAM หัวอัดจารบี เครื่องยิงโฟม- Phosset injection pump รุ่น PU- Phosset -02 Black	Other spraying equipments	1.0000	1	700.00
1068	14182708	แหวนใบตัด เครื่องเลื่อยวงแหวนไฟฟ้า รุ่น RB W-410	Power Tools	1.0000	1	590.00
213	35618870	เกรียงขัดกระดาษทรายเข้ามุม ขนาด 25cm.	Paint and decorating	2.0000	1	560.74
320	14763097	No.38 Pump cover -RB899	Airless Sprayer	1.0000	1	550.00
162	02770435	Extend tube-ด้ามต่อหัวพ่น ขนาด 50cm.	Airless Sprayer	9.0000	9	514.02
1012	42864210	ซีลยางกันรั่ว หัว- ท้าย กระบอกแกนข้างในลูกสูบ RB-1060	SKIM COAT MACHINE	2.0000	1	500.00
248	36840090	No.15 Spring Inlet valve -RB899	Airless Sprayer	2.0000	1	500.00
463	94371477	ค่าOn site service	Screw Pump	1.0000	1	500.00
