product_id	product_code	product	category	qty	invoices	sales_inc_vat
1078	88471131	ใบตัด ขนาด 12 นิ้ว  RB-320-1	WALL CHASERS	1.0000	1	2820.00
124	05170330	PU FOAM หัวอัดจารบี เครื่องยิงโฟม- Phosset injection pump รุ่น PU- Phosset -02 Black	Other spraying equipments	4.0000	3	2800.00
159	31220419	RB-WF60mesh White airless spray gun filter- ใส้กรองปืนสีขาว	Airless Sprayer	84.0000	29	2798.38
162	02770435	Extend tube-ด้ามต่อหัวพ่น ขนาด 50cm.	Airless Sprayer	20.0000	20	2768.81
762	92313469	Tip Guard (สีดำ)	Airless Sprayer	7.0000	4	2678.04
807	67876762	เครื่องสั่นกระเบื้อง(สีดำ)	Power Tools	1.0000	1	2500.00
31	09766295	แผ่นพลาสติก-Plastic smoothing disk 	Missing category 1	6.0000	2	2400.00
1069	32344380	ชุดประกับใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410	Power Tools	4.0000	2	2321.40
114	46019257	Polishing diskเพจรองเครื่องขัดผนัง รุ่นRB-DWS225B	Missing category 1	3.0000	2	2318.32
717	59782546	ปืนยิงกาวซีเมนต์ -Grouting Mortar Sprayer  หัว 4 ขนาด 15mm,25mm,42mm,60mm รุ่น ML-GM-4P	Missing category 1	6.0000	3	1980.00
213	35618870	เกรียงขัดกระดาษทรายเข้ามุม ขนาด 25cm.	Paint and decorating	5.0000	1	1950.00
89	33172105	RB-PS Pressure hose 10m.	Airless Sprayer	1.0000	1	1822.43
311	80715221	Spray tip 635	Airless Sprayer	3.0000	1	1650.00
65	91780351	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์240	Drywall sander, wall sander	130.0000	3	1480.50
68	90434505	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์120	Drywall sander, wall sander	100.0000	2	1407.48
245	11653104	No.17 Inlet valve assembly-RB899	Airless Sprayer	1.0000	1	1401.87
1162	70144469	ชุดฝาครอบ cover Spare parts เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410	WALL CHASERS	1.0000	1	1401.87
468	41779949	No.85 Pressure Valve RB899 วาล์วปรับแรงดัน	Airless Sprayer	1.0000	1	1401.87
84	40374383	ใบตัด-Blade WALL-RB100A ขนาด 25mm.	WALL CHASERS	1.0000	1	1401.87
151	42914914	No.29 Valve assembly -วาวล์ไล่อากาศ RB899	Airless Sprayer	1.0000	1	1401.87
71	39331098	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์240	Drywall sander, wall sander	100.0000	2	1400.00
1059	32878401	สายดูดสี Connector newmodel Full set for RB360	Airless Sprayer	1.0000	1	1400.00
811	26036883	ค่าส่ง	Airless Sprayer	8.0000	8	1377.10
318	47667231	No.110 Suction Hose Full set-RB899	Airless Sprayer	1.0000	1	1121.49
62	51984083	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์120	Paint and decorating	100.0000	2	1107.48
70	53749536	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์180	Drywall sander, wall sander	50.0000	1	1050.00
276	32770008	Spray tip 521	Airless Sprayer	6.0000	5	1028.04
308	16372974	Spray tip 621	Airless Sprayer	5.0000	4	1028.04
1140	97403986	สายพาน spare parts รุ่น RB-225A	Drywall sander, wall sander	2.0000	2	980.00
736	69830696	 กระเป๋าเครื่องมือช่าง คาดเอว 11.5x24cm. RB-1001	Airless Sprayer	2.0000	2	971.96
52	23179593	ไม้ปาดปูน-2 meter scraper	Paint and decorating	1.0000	1	934.58
692	00481546	เกรียงฉาบสกิมโค้ท ด้ามไม้ (ยาว28 cm. กว้าง 10 cm.) รุ่น ML-050021	Missing category 1	2.0000	1	900.00
63	48437366	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์150	Drywall sander, wall sander	60.0000	2	793.50
171	32257150	ถ่าน เครื่องกรีดผนังอิฐมวลเบา รุ่น WALLCD-100A	WALL CHASERS	3.0000	1	750.00
1156	75369285	แหวนล็อคใบตัด Brushless Ring Saw spare parts  RB-7425D	WALL CHASERS	1.0000	1	690.00
295	82811947	Spray tip 523	Airless Sprayer	2.0000	2	616.82
161	32062791	Tip seat full-Spray tip -  ซีลยาง	Airless Sprayer	79.0000	25	600.00
1121	08950901	หัวอัดจารบี เครื่องยิงโฟม - Phosset injection pump สีทอง รุ่น PU-Phosset-01	Spare parts / Accessories Airless sprayer	1.0000	1	600.00
1184	27441200	ข้อต่อ connector ปืนพ่นสี 360 องศา (สีเขียว)	Airless Sprayer	18.0000	18	560.75
1068	14182708	แหวนใบตัด เครื่องเลื่อยวงแหวนไฟฟ้า รุ่น RB W-410	Power Tools	1.0000	1	551.40
50	15248899	ไม้ปาดปูน-1.20meter scraper 	Screw Pump	6.0000	5	550.00
269	76622399	Spray tip 519	Airless Sprayer	4.0000	4	550.00
290	52416676	Spray tip 419	Airless Sprayer	2.0000	2	550.00
296	66015910	Spray tip 219	Airless Sprayer	1.0000	1	550.00
268	29857423	Spray tip 515	Airless Sprayer	5.0000	5	514.02
153	95064021	น้ำมันไฮโดรลิก-Hydraulic Oil	Airless Sprayer	1.0000	1	514.02
248	36840090	No.15 Spring Inlet valve -RB899	Airless Sprayer	2.0000	1	500.00
249	64040511	 No.4 Spring Outlet valve -RB899	Airless Sprayer	2.0000	1	500.00
459	99805626	No.109 Drain hose-สายไล่อากาศ RB899	Airless Sprayer	1.0000	1	450.00
737	55001755	 กระเป๋าเครื่องมือช่าง คาดเอว 11.5x26.5cm. RB-1001.2	Airless Sprayer	1.0000	1	364.49
179	88664098	ข้อต่อสาย-Union 1/4to1/4	Airless Sprayer	3.0000	3	350.00
484	30600935	No.31 Gauge-RB899	Airless Sprayer	1.0000	1	327.10
364	29252485	No.108 connector for RB899	Airless Sprayer	1.0000	1	327.10
33	58781023	แผ่นกระดาษทราย-SandPaper No.40 for psm370 	Missing category 1	5.0000	1	320.00
152	63411091	NO.3 Copper pad Oultel vevle -แหวนทองแดง RB899	Airless Sprayer	3.0000	2	293.46
141	31943855	ลูกปืน-Bearing No.6202	Missing category 1	1.0000	1	250.00
327	30650677	RB-GF30mesh Green airless spray gun filterใส้กรองปืนสีเขียว	Airless Sprayer	22.0000	13	186.92
180	82114867	ค่าส่งแบบโอน	Airless Sprayer	2.0000	2	173.26
64	61332831	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์180	Drywall sander, wall sander	10.0000	1	93.50
204	29146094	เทปฟิล์มสำหรับงานพ่นสี พลาสติกปิดพ่นสี สำหรับรถ เทปกาวในตัว PE Masking Film with Tape ขนาด 55cm x25m	Missing category 1	1.0000	1	36.45
160	91383452	ใส้กรองปืนสีแดง	Airless Sprayer	43.0000	20	0.00
326	03379658	RB-YF100mesh Yellow airless spray gun filterใส้กรองเหลือง	Airless Sprayer	20.0000	12	0.00
280	31563562	Spray tip 415	Airless Sprayer	14.0000	13	0.00
283	36803270	Spray tip 417	Airless Sprayer	12.0000	12	0.00
281	11523954	Spray tip 421	Airless Sprayer	9.0000	9	0.00
304	14785828	Spray tip 315	Airless Sprayer	7.0000	7	0.00
288	20013971	Spray tip 211	Airless Sprayer	6.0000	6	0.00
98	74774312	VC600 Dust Collector-เครื่องเก็บฝุ่นVC600	Airless Sprayer	6.0000	6	0.00
596	62810087	1Meter Dust Suction Pipe Blue-สายดูดฝุ่น1m.	WALL CHASERS	5.0000	5	0.00
337	10775560	ถังเก็บฝุ่น	Paint and decorating	5.0000	5	0.00
321	65415684	4Meter Dust Suction Pipe Blue-สายดูดฝุ่น4m.	Paint and decorating	5.0000	5	0.00
932	42962349	50MM CYCLONE Dust collector - ถังไซโล 	WALL CHASERS	5.0000	5	0.00
1058	24414829	เครื่องผสมสี ปูน หัวเกลียว รุ่น RB-HM161 - Hand mixer HM-161	Screw Pump	5.0000	5	0.00
275	22129636	Spray tip 217	Airless Sprayer	3.0000	3	0.00
157	44810461	Spray tip 317	Airless Sprayer	3.0000	3	0.00
287	85028638	Spray tip 215	Airless Sprayer	2.0000	2	0.00
115	67563618	water pump-wall chaser-ปั้มน้ำเครื่องกรีดผนังระบบน้ำ	Missing category 1	2.0000	2	0.00
289	60767201	Spray tip 319	Airless Sprayer	2.0000	2	0.00
158	84165112	Spray tip 209	Airless Sprayer	2.0000	2	0.00
297	73403617	Spray tip 117	Airless Sprayer	1.0000	1	0.00
118	09437861	ด้ามต่อเครื่องปั่นหน้าปูน รุ่นPSM370	Wall Polishing Machine	1.0000	1	0.00
302	68321792	Spray tip 511	Airless Sprayer	1.0000	1	0.00
303	63062851	Spray tip 115	Airless Sprayer	1.0000	1	0.00
163	91102640	Universal jointer-ข้อต่อ 360องศา	Airless Sprayer	1.0000	1	0.00
51	24349599	ไม้ปาดปูน-1.5meter scraper	Missing category 1	1.0000	1	0.00
