product_id	product_code	product	category	april_qty	april_sales_inc_vat	may_qty	may_sales_inc_vat	qty_change	sales_change_inc_vat
1016	86092530	ขาตั้งCentipede ขา Strut อลูมิเนียมอัลลอยด์แบบพกพา RB-CS10	Wall Polishing Machine	0.0000	0.00	1.0000	4500.00	1.0000	4500.00
32	54906572	แผ่นฟองน้ำ (อย่างดี)-Sponge  disc Premium	Missing category 1	5.0000	2000.00	10.0000	4000.00	5.0000	2000.00
1141	33417325	ทุ่น Rotor spare parts  รุ่น RB-225A	Drywall sander, wall sander	0.0000	0.00	2.0000	3950.00	2.0000	3950.00
2	03665944	เครื่องปั่นหน้าปูนฉาบ สายไฟ 5 เมตร รุ่น RB-PSM370-5M	Missing category 1	9.0000	15700.90	1.0000	3925.23	-8.0000	-11775.67
61	45473436	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์80	Drywall sander, wall sander	135.0000	917.50	350.0000	3914.96	215.0000	2997.46
220	93981649	ไม้ปาดสกิมโค้ท สีแดง  Scraper 40 cm.	Paint and decorating	4.0000	2850.00	4.0000	3737.85	0.0000	887.85
58	34545087	Packer รุ่น A -10	Paint and decorating	550.0000	6600.00	300.0000	3600.00	-250.0000	-3000.00
1010	11487134	Battery Backpack-airless Sprayer 4.0 AH	Airless Sprayer	0.0000	0.00	3.0000	3228.04	3.0000	3228.04
3	21842309	เครื่องปั่นหน้าปูนฉาบ สายไฟ 10  เมตร รุ่น RB-PSM370-10M 	Missing category 1	0.0000	0.00	1.0000	3000.00	1.0000	3000.00
54	97527537	ปืนยิงโฟม Long gun head of grouting machine รุ่นPU-GUN-Foam-01	Other spraying equipments	2.0000	1640.00	3.0000	2970.00	1.0000	1330.00
67	21961958	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์80	Drywall sander, wall sander	100.0000	1400.00	200.0000	2942.98	100.0000	1542.98
155	37498222	Spray Tip 517	Airless Sprayer	12.0000	1074.77	16.0000	2843.46	4.0000	1768.69
1078	88471131	ใบตัด ขนาด 12 นิ้ว  RB-320-1	WALL CHASERS	0.0000	0.00	1.0000	2820.00	1.0000	2820.00
124	05170330	PU FOAM หัวอัดจารบี เครื่องยิงโฟม- Phosset injection pump รุ่น PU- Phosset -02 Black	Other spraying equipments	1.0000	700.00	4.0000	2800.00	3.0000	2100.00
159	31220419	RB-WF60mesh White airless spray gun filter- ใส้กรองปืนสีขาว	Airless Sprayer	69.0000	0.00	84.0000	2798.38	15.0000	2798.38
162	02770435	Extend tube-ด้ามต่อหัวพ่น ขนาด 50cm.	Airless Sprayer	9.0000	514.02	20.0000	2768.81	11.0000	2254.79
762	92313469	Tip Guard (สีดำ)	Airless Sprayer	13.0000	3878.03	7.0000	2678.04	-6.0000	-1199.99
807	67876762	เครื่องสั่นกระเบื้อง(สีดำ)	Power Tools	3.0000	7172.90	1.0000	2500.00	-2.0000	-4672.90
31	09766295	แผ่นพลาสติก-Plastic smoothing disk 	Missing category 1	0.0000	0.00	6.0000	2400.00	6.0000	2400.00
1069	32344380	ชุดประกับใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410	Power Tools	0.0000	0.00	4.0000	2321.40	4.0000	2321.40
114	46019257	Polishing diskเพจรองเครื่องขัดผนัง รุ่นRB-DWS225B	Missing category 1	0.0000	0.00	3.0000	2318.32	3.0000	2318.32
717	59782546	ปืนยิงกาวซีเมนต์ -Grouting Mortar Sprayer  หัว 4 ขนาด 15mm,25mm,42mm,60mm รุ่น ML-GM-4P	Missing category 1	1.0000	390.00	6.0000	1980.00	5.0000	1590.00
213	35618870	เกรียงขัดกระดาษทรายเข้ามุม ขนาด 25cm.	Paint and decorating	2.0000	560.74	5.0000	1950.00	3.0000	1389.26
89	33172105	RB-PS Pressure hose 10m.	Airless Sprayer	3.0000	3961.68	1.0000	1822.43	-2.0000	-2139.25
311	80715221	Spray tip 635	Airless Sprayer	0.0000	0.00	3.0000	1650.00	3.0000	1650.00
65	91780351	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์240	Drywall sander, wall sander	220.0000	1644.50	130.0000	1480.50	-90.0000	-164.00
68	90434505	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์120	Drywall sander, wall sander	1075.0000	10668.16	100.0000	1407.48	-975.0000	-9260.68
468	41779949	No.85 Pressure Valve RB899 วาล์วปรับแรงดัน	Airless Sprayer	2.0000	3000.00	1.0000	1401.87	-1.0000	-1598.13
245	11653104	No.17 Inlet valve assembly-RB899	Airless Sprayer	1.0000	1500.00	1.0000	1401.87	0.0000	-98.13
151	42914914	No.29 Valve assembly -วาวล์ไล่อากาศ RB899	Airless Sprayer	1.0000	1500.00	1.0000	1401.87	0.0000	-98.13
1162	70144469	ชุดฝาครอบ cover Spare parts เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410	WALL CHASERS	0.0000	0.00	1.0000	1401.87	1.0000	1401.87
84	40374383	ใบตัด-Blade WALL-RB100A ขนาด 25mm.	WALL CHASERS	0.0000	0.00	1.0000	1401.87	1.0000	1401.87
71	39331098	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์240	Drywall sander, wall sander	135.0000	1676.83	100.0000	1400.00	-35.0000	-276.83
1059	32878401	สายดูดสี Connector newmodel Full set for RB360	Airless Sprayer	0.0000	0.00	1.0000	1400.00	1.0000	1400.00
811	26036883	ค่าส่ง	Airless Sprayer	5.0000	1000.00	8.0000	1377.10	3.0000	377.10
318	47667231	No.110 Suction Hose Full set-RB899	Airless Sprayer	1.0000	1350.00	1.0000	1121.49	0.0000	-228.51
62	51984083	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์120	Paint and decorating	170.0000	1490.50	100.0000	1107.48	-70.0000	-383.02
70	53749536	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์180	Drywall sander, wall sander	35.0000	229.00	50.0000	1050.00	15.0000	821.00
276	32770008	Spray tip 521	Airless Sprayer	8.0000	1028.04	6.0000	1028.04	-2.0000	0.00
308	16372974	Spray tip 621	Airless Sprayer	2.0000	0.00	5.0000	1028.04	3.0000	1028.04
1140	97403986	สายพาน spare parts รุ่น RB-225A	Drywall sander, wall sander	0.0000	0.00	2.0000	980.00	2.0000	980.00
736	69830696	 กระเป๋าเครื่องมือช่าง คาดเอว 11.5x24cm. RB-1001	Airless Sprayer	0.0000	0.00	2.0000	971.96	2.0000	971.96
52	23179593	ไม้ปาดปูน-2 meter scraper	Paint and decorating	2.0000	2155.60	1.0000	934.58	-1.0000	-1221.02
692	00481546	เกรียงฉาบสกิมโค้ท ด้ามไม้ (ยาว28 cm. กว้าง 10 cm.) รุ่น ML-050021	Missing category 1	0.0000	0.00	2.0000	900.00	2.0000	900.00
63	48437366	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์150	Drywall sander, wall sander	20.0000	200.00	60.0000	793.50	40.0000	593.50
171	32257150	ถ่าน เครื่องกรีดผนังอิฐมวลเบา รุ่น WALLCD-100A	WALL CHASERS	0.0000	0.00	3.0000	750.00	3.0000	750.00
1156	75369285	แหวนล็อคใบตัด Brushless Ring Saw spare parts  RB-7425D	WALL CHASERS	0.0000	0.00	1.0000	690.00	1.0000	690.00
295	82811947	Spray tip 523	Airless Sprayer	0.0000	0.00	2.0000	616.82	2.0000	616.82
161	32062791	Tip seat full-Spray tip -  ซีลยาง	Airless Sprayer	60.0000	280.38	79.0000	600.00	19.0000	319.62
1121	08950901	หัวอัดจารบี เครื่องยิงโฟม - Phosset injection pump สีทอง รุ่น PU-Phosset-01	Spare parts / Accessories Airless sprayer	0.0000	0.00	1.0000	600.00	1.0000	600.00
1184	27441200	ข้อต่อ connector ปืนพ่นสี 360 องศา (สีเขียว)	Airless Sprayer	4.0000	0.00	18.0000	560.75	14.0000	560.75
1068	14182708	แหวนใบตัด เครื่องเลื่อยวงแหวนไฟฟ้า รุ่น RB W-410	Power Tools	1.0000	590.00	1.0000	551.40	0.0000	-38.60
296	66015910	Spray tip 219	Airless Sprayer	0.0000	0.00	1.0000	550.00	1.0000	550.00
290	52416676	Spray tip 419	Airless Sprayer	1.0000	0.00	2.0000	550.00	1.0000	550.00
269	76622399	Spray tip 519	Airless Sprayer	2.0000	0.00	4.0000	550.00	2.0000	550.00
50	15248899	ไม้ปาดปูน-1.20meter scraper 	Screw Pump	0.0000	0.00	6.0000	550.00	6.0000	550.00
268	29857423	Spray tip 515	Airless Sprayer	11.0000	1578.04	5.0000	514.02	-6.0000	-1064.02
153	95064021	น้ำมันไฮโดรลิก-Hydraulic Oil	Airless Sprayer	0.0000	0.00	1.0000	514.02	1.0000	514.02
249	64040511	 No.4 Spring Outlet valve -RB899	Airless Sprayer	12.0000	2929.91	2.0000	500.00	-10.0000	-2429.91
248	36840090	No.15 Spring Inlet valve -RB899	Airless Sprayer	2.0000	500.00	2.0000	500.00	0.0000	0.00
459	99805626	No.109 Drain hose-สายไล่อากาศ RB899	Airless Sprayer	0.0000	0.00	1.0000	450.00	1.0000	450.00
737	55001755	 กระเป๋าเครื่องมือช่าง คาดเอว 11.5x26.5cm. RB-1001.2	Airless Sprayer	4.0000	785.04	1.0000	364.49	-3.0000	-420.55
179	88664098	ข้อต่อสาย-Union 1/4to1/4	Airless Sprayer	1.0000	0.00	3.0000	350.00	2.0000	350.00
484	30600935	No.31 Gauge-RB899	Airless Sprayer	2.0000	750.00	1.0000	327.10	-1.0000	-422.90
364	29252485	No.108 connector for RB899	Airless Sprayer	1.0000	350.00	1.0000	327.10	0.0000	-22.90
33	58781023	แผ่นกระดาษทราย-SandPaper No.40 for psm370 	Missing category 1	1.0000	52.34	5.0000	320.00	4.0000	267.66
152	63411091	NO.3 Copper pad Oultel vevle -แหวนทองแดง RB899	Airless Sprayer	1.0000	100.00	3.0000	293.46	2.0000	193.46
141	31943855	ลูกปืน-Bearing No.6202	Missing category 1	0.0000	0.00	1.0000	250.00	1.0000	250.00
327	30650677	RB-GF30mesh Green airless spray gun filterใส้กรองปืนสีเขียว	Airless Sprayer	13.0000	0.00	22.0000	186.92	9.0000	186.92
180	82114867	ค่าส่งแบบโอน	Airless Sprayer	0.0000	0.00	2.0000	173.26	2.0000	173.26
64	61332831	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์180	Drywall sander, wall sander	20.0000	200.00	10.0000	93.50	-10.0000	-106.50
204	29146094	เทปฟิล์มสำหรับงานพ่นสี พลาสติกปิดพ่นสี สำหรับรถ เทปกาวในตัว PE Masking Film with Tape ขนาด 55cm x25m	Missing category 1	0.0000	0.00	1.0000	36.45	1.0000	36.45
758	11299821	เครื่องพ่นสกิมโค้ท รุ่น RB-1060 	SKIM COAT MACHINE	2.0000	160308.41	0.0000	0.00	-2.0000	-160308.41
801	41498301	เครื่องพ่นปูนฉาบ รุ่น RB-MT-9004 70ลิตร	Screw Pump	1.0000	121495.33	0.0000	0.00	-1.0000	-121495.33
1167	92698477	เครื่องพ่นปูนสกิมโค้ท ระบบไฮดรอลิค รุ่น RB-1090	SKIM COAT MACHINE	1.0000	84000.00	0.0000	0.00	-1.0000	-84000.00
587	23971522	เครื่องพ่นสกิมโค้ท ระบบสกูร รุ่น RB PC-HP-30	Screw Pump	1.0000	79000.00	0.0000	0.00	-1.0000	-79000.00
388	88132174	Marble polishing machine-เครื่องขัดพื้นคอนกรีต สีส้ม RB-FP01	Airless Sprayer	2.0000	64704.21	0.0000	0.00	-2.0000	-64704.21
1039	90350847	เครื่องดัดเหล็ก-punching machine ( 32 mm.) รุ่น RB-32	WALL CHASERS	1.0000	58900.00	0.0000	0.00	-1.0000	-58900.00
105	39378639	RB-SC1030 Screw pump sprayer	Screw Pump	1.0000	55140.19	0.0000	0.00	-1.0000	-55140.19
16	89562283	เครื่องกรีดผนังเซาะร่อง-Wall cutter อิฐมวลเบา รุ่น WALLCD-100A Top Model	Paint and decorating	2.0000	34430.37	0.0000	0.00	-2.0000	-34430.37
982	02614762	เครื่องปั่นหน้าปูนฉาบ พรีเมี่ยม(สีเขียว)	Screw Pump	16.0000	31401.92	0.0000	0.00	-16.0000	-31401.92
1115	28092791	เครื่องขัดคอนกรีต แบบ 4 หัว รุ่น RB-PF04	Drywall sander, wall sander	3.0000	28050.00	0.0000	0.00	-3.0000	-28050.00
13	78055317	เครื่องกรีดผนังเซาะร่อง-Wall Cutter ระบบน้ำ รุ่น WALLCD-1009B	Paint and decorating	4.0000	19088.79	0.0000	0.00	-4.0000	-19088.79
1083	81952035	เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-BL400	WALL CHASERS	1.0000	17900.00	0.0000	0.00	-1.0000	-17900.00
1174	09729006	เครื่องพ่นสีแรงดันสูงแบบพกพา-Handheld airless sprayer รุ่น RB-G910	Airless Sprayer	3.0000	14152.34	0.0000	0.00	-3.0000	-14152.34
983	92277253	เครื่องพ่นสีแรงดันสูง แบบตั้งพื้น รุ่น RB-DQ600	Airless Sprayer	2.0000	12574.77	0.0000	0.00	-2.0000	-12574.77
342	67600335	เครื่องขัดผนังมือจับสั้นหน้า9นิ้ว รุ่นRB-DWS700F	Airless Sprayer	3.0000	11339.73	0.0000	0.00	-3.0000	-11339.73
1125	46802905	เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB-390F	Airless Sprayer	1.0000	11121.50	0.0000	0.00	-1.0000	-11121.50
436	24081251	ขาต่อ-dry stilts 	Paint and decorating	2.0000	11000.00	0.0000	0.00	-2.0000	-11000.00
19	62389576	ถังแรงดัน-Pressure Tanks Manual Agitator ธรรมดา 20L รุ่น RB-TK20-1	Airless Sprayer	1.0000	10900.00	0.0000	0.00	-1.0000	-10900.00
182	92422684	No.42 Diaphragm -RB899	Airless Sprayer	4.0000	10000.00	0.0000	0.00	-4.0000	-10000.00
222	59022004	Startor-Rotor For 70lite- ชุดลูกยาง Width 12.3cm high 30cm  เครื่องพ่นปูน RB-MT9004	Screw Pump	2.0000	8598.13	0.0000	0.00	-2.0000	-8598.13
1064	78754909	ใบตัด เครื่องเลื่อยวงแหวนไฟฟ้า รุ่น RB W-410	Power Tools	2.0000	7800.00	0.0000	0.00	-2.0000	-7800.00
872	53468485	เครื่องพ่นสีสะพายหลังแบตเตอรี่ลิเธียมคุณภาพสูง ระบบสุญญากาศ RB-534	Airless Sprayer	1.0000	7500.00	0.0000	0.00	-1.0000	-7500.00
1053	93078489	ไม้ปาดสกิมโค้ท สีแดง ความกว้าง 115 cm.	Screw Pump	4.0000	6760.00	0.0000	0.00	-4.0000	-6760.00
14	88194975	เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-J17 	Missing category 1	3.0000	5887.86	0.0000	0.00	-3.0000	-5887.86
29	63638962	รอกยกแอร์-Air conditioner Hoist  20 m	Missing category 1	2.0000	4859.81	0.0000	0.00	-2.0000	-4859.81
1086	92622793	ใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-BL400	WALL CHASERS	1.0000	4500.00	0.0000	0.00	-1.0000	-4500.00
1122	53437664	RB-PS Pressure hose 3/8 15 m. (สีเหลือง)	Airless Sprayer	2.0000	3500.00	0.0000	0.00	-2.0000	-3500.00
1	15120904	เครื่องปั่นหน้าปูนฉาบ จับสองมือ รุ่น RB-WPS90	Missing category 1	1.0000	3500.00	0.0000	0.00	-1.0000	-3500.00
1013	34598941	ไม้ปาดสกิมโค้ท - SCRAPER RB-SC80 ขนาด 80 cm.	Wall Polishing Machine	2.0000	3051.87	0.0000	0.00	-2.0000	-3051.87
214	93931832	เกรียงขัดกระดาษทรายเข้ามุม ขนาด 50cm.	Paint and decorating	6.0000	2803.74	0.0000	0.00	-6.0000	-2803.74
224	30585176	ชุดสปริง- epoxy  grouting   spare parts รุ่น RB-WE01,WE02	Missing category 3	6.0000	2700.00	0.0000	0.00	-6.0000	-2700.00
357	75096837	texture  spray gun 4mm	Spare parts / Accessories Airless sprayer	1.0000	2500.00	0.0000	0.00	-1.0000	-2500.00
323	71134805	Putty power special scraperไม้ปาดด้ามยาว	Airless Sprayer	2.0000	2400.00	0.0000	0.00	-2.0000	-2400.00
46	05761935	เครื่องยิงกันซึมมือถือ-Crack Grouting รุ่น RB-WE900	Power Tools	1.0000	2289.72	0.0000	0.00	-1.0000	-2289.72
100	79234345	ถาดรองเครื่องปั่นหน้าปูน รุ่นPSM370	Screw Pump	3.0000	2214.95	0.0000	0.00	-3.0000	-2214.95
467	68761949	No.10 Outlet valve full set for RB899	Airless Sprayer	1.0000	1500.00	0.0000	0.00	-1.0000	-1500.00
725	05235178	กระดาษทราย-เกรียงขัดกระดาษเข้ามุม ความยาว 50 cm เบอร์ 240	Missing category 1	60.0000	1500.00	0.0000	0.00	-60.0000	-1500.00
98	74774312	VC600 Dust Collector-เครื่องเก็บฝุ่นVC600	Airless Sprayer	3.0000	1308.41	6.0000	0.00	3.0000	-1308.41
1060	10384771	เกจวัดแรงดัน Gauge-RB360	Airless Sprayer	2.0000	1300.00	0.0000	0.00	-2.0000	-1300.00
319	18863480	Extend tube-ด้ามต่อหัวพ่น ขนาด 100cm.	Airless Sprayer	3.0000	1261.68	0.0000	0.00	-3.0000	-1261.68
157	44810461	Spray tip 317	Airless Sprayer	15.0000	1110.75	3.0000	0.00	-12.0000	-1110.75
303	63062851	Spray tip 115	Airless Sprayer	3.0000	1100.00	1.0000	0.00	-2.0000	-1100.00
43	40337965	เครื่องล้างทำความสะอาดน้ำไอร้อน	Power Tools	1.0000	981.31	0.0000	0.00	-1.0000	-981.31
51	24349599	ไม้ปาดปูน-1.5meter scraper	Missing category 1	1.0000	700.94	1.0000	0.00	0.0000	-700.94
72	99413924	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์320	Drywall sander, wall sander	50.0000	700.00	0.0000	0.00	-50.0000	-700.00
447	74340811	ถุงผ้าสำหรับถังเก็บฝุ่น  -Dust bag Dust collector-VC600	Missing category 1	2.0000	700.00	0.0000	0.00	-2.0000	-700.00
320	14763097	No.38 Pump cover -RB899	Airless Sprayer	1.0000	550.00	0.0000	0.00	-1.0000	-550.00
463	94371477	ค่าOn site service	Screw Pump	1.0000	500.00	0.0000	0.00	-1.0000	-500.00
1012	42864210	ซีลยางกันรั่ว หัว- ท้าย กระบอกแกนข้างในลูกสูบ RB-1060	SKIM COAT MACHINE	2.0000	500.00	0.0000	0.00	-2.0000	-500.00
711	18654937	เกรียงฉาบสกิมโค้ท ขนาด 300x82x135x35x0.4 mm รุ่น HT-5309 (YOKOTA)	Missing category 1	1.0000	387.85	0.0000	0.00	-1.0000	-387.85
298	16823579	Spray tip 625	Airless Sprayer	1.0000	196.26	0.0000	0.00	-1.0000	-196.26
715	28941812	กระเป๋าเครื่องมือช่าง คาดเอว สำหรับใส่ลวดเชื่อม รุ่น RB-1002 35x12 cm	Airless Sprayer	1.0000	196.26	0.0000	0.00	-1.0000	-196.26
481	43216292	No.1 The nut of outlet valve-RB899	Airless Sprayer	1.0000	100.00	0.0000	0.00	-1.0000	-100.00
480	16106432	No.5 Ball holder outlet -RB899	Airless Sprayer	2.0000	100.00	0.0000	0.00	-2.0000	-100.00
66	60026282	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์320	Drywall sander, wall sander	10.0000	100.00	0.0000	0.00	-10.0000	-100.00
258	86906784	เทปบังสีส้มขนาด 24mm.	Paint and decorating	1.0000	39.25	0.0000	0.00	-1.0000	-39.25
