product_id	product_code	product	category	april_qty	april_sales_inc_vat	may_qty	may_sales_inc_vat	qty_change	sales_change_inc_vat
272	57709848	Spray tip 439	Airless Sprayer	3.0000	0.00	0.0000	0.00	-3.0000	0.00
315	75049432	Spray tip 441	Airless Sprayer	1.0000	0.00	0.0000	0.00	-1.0000	0.00
302	68321792	Spray tip 511	Airless Sprayer	0.0000	0.00	1.0000	0.00	1.0000	0.00
271	12344056	Spray tip 513	Airless Sprayer	1.0000	0.00	0.0000	0.00	-1.0000	0.00
306	25990794	Spray tip 619	Airless Sprayer	1.0000	0.00	0.0000	0.00	-1.0000	0.00
163	91102640	Universal jointer-ข้อต่อ 360องศา	Airless Sprayer	2.0000	0.00	1.0000	0.00	-1.0000	0.00
115	67563618	water pump-wall chaser-ปั้มน้ำเครื่องกรีดผนังระบบน้ำ	Missing category 1	3.0000	0.00	2.0000	0.00	-1.0000	0.00
324	58316789	ข้อต่อสาย-Union 3/8 to 3/8	Airless Sprayer	2.0000	0.00	0.0000	0.00	-2.0000	0.00
118	09437861	ด้ามต่อเครื่องปั่นหน้าปูน รุ่นPSM370	Wall Polishing Machine	0.0000	0.00	1.0000	0.00	1.0000	0.00
337	10775560	ถังเก็บฝุ่น	Paint and decorating	3.0000	0.00	5.0000	0.00	2.0000	0.00
1088	29475260	ปืนพ่นปูน-sets-Spray Gun cement -MT9004	Screw Pump	1.0000	0.00	0.0000	0.00	-1.0000	0.00
948	36919003	ปืนพ่นสกิม รุ่นSPQ911	Airless Sprayer	1.0000	0.00	0.0000	0.00	-1.0000	0.00
221	03342900	สายพ่นปูน10m.RB-MT9004	Screw Pump	2.0000	0.00	0.0000	0.00	-2.0000	0.00
1058	24414829	เครื่องผสมสี ปูน หัวเกลียว รุ่น RB-HM161 - Hand mixer HM-161	Screw Pump	1.0000	0.00	5.0000	0.00	4.0000	0.00
160	91383452	ใส้กรองปืนสีแดง	Airless Sprayer	14.0000	0.00	43.0000	0.00	29.0000	0.00
