sale_id,sale_datetime,sale_date,reference_no,sale_status,payment_status,customer_id,customer,biller_id,biller,sale_warehouse_id,sale_warehouse_code,sale_warehouse_name,sale_item_id,product_id,product_code,product_name,product_second_name,product_type,option_id,variant_name,category_id,category_name,subcategory_id,subcategory_name,item_warehouse_id,item_warehouse_code,item_warehouse_name,product_unit_id,product_unit_code,product_unit_name,quantity,unit_quantity,net_unit_price,real_unit_price,unit_price,item_discount,discount_label,tax_rate_id,tax_name,tax_code,tax_rate,tax_label,item_tax_per_unit,line_item_tax_stored,line_sales_ex_vat,line_vat_allocated_from_invoice,line_sales_inc_vat_allocated,serial_no,comment,invoice_total_ex_tax_before_adjustments,invoice_line_ex_vat_total,invoice_product_discount,order_discount,invoice_total_discount,invoice_product_tax,order_tax,invoice_total_vat,shipping,invoice_grand_total_inc_vat,paid,payment_method,customer_source,pos,shop,return_id,return_sale_ref,return_sale_total
44211,"2026-05-28 18:22:00",2026-05-28,VT2026/0686,completed,paid,4901,"ประสงค์ออกนาม ( สำนักงานใหญ่ )",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53641,304,14785828,"Spray tip 315",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,23364.4900,23364.4900,0.0000,0.0000,0.0000,0.0000,1635.5143,1635.5143,0.0000,25000.0043,25000.0000,,,0,0,,,0.0000
44213,"2026-05-29 09:32:00",2026-05-29,VT2026/0688,completed,paid,6574,"บริษัท มดย่อง อินเตอร์มีเดีย กรุ๊ป จำกัด (สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53657,304,14785828,"Spray tip 315",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,16900.0000,16900.0000,0.0000,0.0000,0.0000,0.0000,1183.0000,1183.0000,0.0000,18083.0000,18083.0000,,,0,0,,,0.0000
44093,"2026-05-05 16:20:00",2026-05-05,VT2026/0575,completed,paid,6511,"บริษัท ลานกระบือ คอนสตรัคชั่น จำกัด (สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",52925,157,44810461,"Spray tip 317",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",4,อัน,อัน,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,36448.6000,36448.6000,0.0000,0.0000,0.0000,0.0000,2551.4020,2551.4020,0.0000,39000.0020,39000.0000,,,0,0,,,0.0000
44108,"2026-05-07 10:52:00",2026-05-07,VT2026/0590,completed,paid,4694,"บริษัท เอ็มพลัส เทรดดิ้ง เซ็นเตอร์ จำกัด",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",52956,157,44810461,"Spray tip 317",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",4,อัน,อัน,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,79000.0000,79000.0000,0.0000,0.0000,0.0000,0.0000,5530.0000,5530.0000,0.0000,84530.0000,84530.0000,,,0,0,,,0.0000
44172,"2026-05-22 14:36:00",2026-05-22,VT2026/0650,completed,paid,6518,"บริษัท ทีเอ็มที เอ็นจิเนียริ่ง แอนด์ เทรดดิ้ง จำกัด",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53840,157,44810461,"Spray tip 317",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",4,อัน,อัน,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,79000.0000,79000.0000,0.0000,0.0000,0.0000,0.0000,5530.0000,5530.0000,0.0000,84530.0000,85137.7600,,,0,0,,,0.0000
44195,"2026-05-25 17:49:00",2026-05-25,VT2026/0673,completed,paid,6558,"บริษัท ก่อเกียรติโลหะกิจ จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53497,289,60767201,"Spray tip 319",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,29654.2100,29654.2100,0.0000,0.0000,0.0000,0.0000,2075.7947,2075.7947,0.0000,31730.0047,41730.0000,,,0,0,44196,SR2026/0001,-31730.0047
44196,"2026-05-25 17:56:00",2026-05-25,VT2026/0673,returned,paid,6558,"บริษัท ก่อเกียรติโลหะกิจ จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53508,289,60767201,"Spray tip 319",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,-29654.2100,-29654.2100,0.0000,0.0000,0.0000,0.0000,-2075.7947,-2075.7947,0.0000,-31730.0047,-31730.0000,,,0,0,,SR2026/0001,0.0000
44198,"2026-05-25 17:59:00",2026-05-25,VT2026/0674,completed,paid,6558,"บริษัท ก่อเกียรติโลหะกิจ จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53532,289,60767201,"Spray tip 319",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,29654.2100,29654.2100,0.0000,0.0000,0.0000,0.0000,2075.7947,2075.7947,0.0000,31730.0047,31730.0000,,,0,0,,,0.0000
44088,"2026-05-04 16:59:00",2026-05-04,VT2026/0570,completed,paid,4901,"ประสงค์ออกนาม ( สำนักงานใหญ่ )",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",52898,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,15747.6600,15747.6600,0.0000,0.0000,0.0000,0.0000,1102.3362,1102.3362,0.0000,16849.9962,16850.0000,,,0,0,,,0.0000
44093,"2026-05-05 16:20:00",2026-05-05,VT2026/0575,completed,paid,6511,"บริษัท ลานกระบือ คอนสตรัคชั่น จำกัด (สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",52926,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,36448.6000,36448.6000,0.0000,0.0000,0.0000,0.0000,2551.4020,2551.4020,0.0000,39000.0020,39000.0000,,,0,0,,,0.0000
